index,name,surname,initials,age,dateOfBirth
605,Maria,"Van Zyl",M,3,2015/06/17
606,Shadow,Dyer,S,28,1990/06/12
607,Freddie,Duran,F,24,1994/03/13
608,Shahmir,Emerson,S,30,1988/04/13
609,Freddie,Gallagher,F,48,1970/09/30
610,Frik,Fuller,F,27,1991/05/07
611,"Pieter Andre","Van Zyl",PA,1,2017/04/03
612,Miena,Elliott,M,30,1988/06/07
613,Shae,Ellis,S,13,2005/10/13
614,Susan,Elliott,S,34,1984/07/21
615,"Garret Pieter",Ellison,GP,10,2008/07/30
616,Shane,Dyer,S,42,1976/04/03
617,Aaron,Harold,A,44,1974/06/23
618,Riaan,Emerson,R,9,2009/05/14
619,"Garret Pieter",Fuller,GP,46,1972/07/29
620,Maria,Fuller,M,32,1986/04/29
621,Frik,Duran,F,34,1984/01/11
622,Santie,Gamble,S,14,2004/11/09
623,Peter,Durham,P,8,2010/12/04
624,Ben,England,B,44,1974/06/17
625,jaco,Fulton,j,41,1977/04/04
626,Frik,Gaines,F,31,1987/09/10
627,Shai,"Van Zyl",S,28,1990/04/27
628,Aron-James,Fulton,A,38,1980/04/21
629,Maria,Edwards,M,36,1982/05/14
630,Maria,Harold,M,38,1980/05/23
631,Ben,Edwards,B,32,1986/12/28
632,"Pieter Andre",Emerson,PA,42,1976/06/25
633,Ben,Elliott,B,44,1974/07/03
634,Santie,Dyer,S,29,1989/09/17
635,Peter,Ellison,P,24,1994/03/09
636,Shae,Gallegos,S,26,1992/08/10
637,jaco,Harold,j,0,2018/02/26
638,Aaron,Harold,A,13,2005/06/07
639,Ben,Harold,B,15,2003/01/24
640,Jan,Gamble,J,42,1976/11/11
641,Jan,Gallegos,J,35,1983/10/11
642,"Pieter Andre",Gallegos,PA,44,1974/08/09
643,Aron-James,Duran,A,16,2002/10/30
644,Peter,Fulton,P,40,1978/02/23
645,Susan,Gallagher,S,47,1971/03/21
646,Freddie,Emerson,F,35,1983/11/11
647,Shahmir,Gamble,S,4,2014/09/07
648,"Pieter Andre",Edwards,PA,39,1979/07/03
649,Santie,Eaton,S,47,1971/01/06
650,jaco,Eaton,j,23,1995/10/30
651,Susan,Emerson,S,11,2007/11/19
652,Shane,Fulton,S,9,2009/05/26
653,Shane,Eaton,S,22,1996/12/04
654,Freddie,Gamble,F,42,1976/11/11
655,Susan,Edwards,S,28,1990/12/17
656,Shadow,Edwards,S,41,1977/02/14
657,Shahmir,Fuentes,S,30,1988/05/14
658,Maria,Emerson,M,14,2004/07/28
659,Shae,Gaines,S,25,1993/11/18
660,jaco,Gamble,j,27,1991/02/22
661,jaco,Gaines,j,27,1991/03/06
662,Shane,Fuller,S,45,1973/06/18
663,Susan,Dyer,S,24,1994/09/25
664,Frik,Duran,F,7,2011/06/17
665,Miena,Elliott,M,14,2004/09/13
666,Jan,Galloway,J,28,1990/10/17
667,"Pieter Andre",Eaton,PA,47,1971/01/10
668,Aaron,Galloway,A,26,1992/02/11
669,Jan,"Van Zyl",J,8,2010/03/04
670,"Garret Pieter",Ellis,GP,46,1972/02/15
671,Shane,Emerson,S,28,1990/09/24
672,Miena,Ellis,M,19,1999/09/16
673,Shadow,Durham,S,11,2007/02/10
674,Santie,Ellison,S,39,1979/08/22
675,Shae,Gallegos,S,5,2013/12/15
676,Shai,"Van Zyl",S,24,1994/01/27
677,Jan,Harold,J,46,1972/08/17
678,Miena,Ellison,M,36,1982/07/23
679,Jan,Gaines,J,32,1986/08/28
680,Shahmir,England,S,34,1984/11/07
681,Shahmir,Dyer,S,37,1981/01/03
682,Santie,Dyer,S,36,1982/08/23
683,Maria,Gallegos,M,34,1984/10/14
684,Peter,Duran,P,34,1984/08/24
685,"Garret Pieter",Duran,GP,36,1982/09/12
686,Maria,Eaton,M,39,1979/06/07
687,"Pieter Andre",Galloway,PA,26,1992/04/25
688,Aaron,Gallagher,A,13,2005/07/05
689,Shai,Fuentes,S,15,2003/01/25
690,"Garret Pieter",Edwards,GP,30,1988/12/06
691,Shahmir,Fuentes,S,39,1979/12/01
692,Riaan,England,R,15,2003/05/27
693,Peter,Gamble,P,36,1982/03/06
694,Shae,England,S,2,2016/06/09
695,Freddie,Fuller,F,3,2015/08/03
696,Susan,Gaines,S,17,2001/08/06
697,Shahmir,Emerson,S,40,1978/10/29
698,Susan,Ellis,S,34,1984/06/23
699,Shahmir,Emerson,S,32,1986/09/08
700,Shai,Emerson,S,27,1991/12/24
701,Jan,Gallegos,J,45,1973/05/05
702,Shae,Dyer,S,2,2016/06/02
703,Peter,Emerson,P,12,2006/10/23
704,Miena,Edwards,M,25,1993/03/03
705,Shae,Gallagher,S,0,2018/11/09
706,Santie,"Van Zyl",S,5,2013/03/04
707,Miena,England,M,10,2008/11/16
708,Ben,Fuentes,B,16,2002/05/18
709,Miena,Durham,M,16,2002/11/21
710,Riaan,Durham,R,9,2009/05/23
711,Shai,Harold,S,42,1976/11/28
712,Aaron,Fuller,A,32,1986/10/15
713,Santie,Eaton,S,5,2013/02/28
714,"Garret Pieter",Fuentes,GP,39,1979/01/25
715,Miena,Duran,M,15,2003/05/03
716,Aron-James,England,A,26,1992/09/11
717,Aron-James,Edwards,A,38,1980/09/04
718,Susan,Dyer,S,22,1996/11/16
719,jaco,Gallagher,j,4,2014/02/24
720,Riaan,Dyer,R,29,1989/01/03
721,Aaron,Dyer,A,9,2009/04/18
722,Peter,Gallagher,P,9,2009/05/13
723,Freddie,"Van Zyl",F,14,2004/05/10
724,jaco,Dyer,j,41,1977/03/15
725,"Garret Pieter",Eaton,GP,28,1990/04/12
726,"Pieter Andre",Fulton,PA,11,2007/03/06
727,Jan,Galloway,J,35,1983/10/23
728,Riaan,Galloway,R,22,1996/04/13
729,Aaron,Gaines,A,17,2001/03/03
730,Peter,Eaton,P,23,1995/06/11
731,jaco,Durham,j,21,1997/02/13
732,Maria,Gaines,M,19,1999/09/25
733,"Garret Pieter",Gaines,GP,32,1986/09/06
734,Aron-James,Elliott,A,19,1999/10/19
735,Freddie,Emerson,F,24,1994/06/04
736,Shadow,Eaton,S,40,1978/11/08
737,Shae,Gamble,S,10,2008/07/18
738,"Garret Pieter",Ellis,GP,27,1991/07/19
739,Susan,Harold,S,21,1997/08/23
740,"Garret Pieter",Edwards,GP,41,1977/06/17
741,Maria,Eaton,M,43,1975/01/22
742,Santie,Emerson,S,47,1971/06/27
743,Shahmir,Duran,S,37,1981/08/04
744,Shahmir,Edwards,S,39,1979/07/16
745,Aaron,Eaton,A,13,2005/06/27
746,Peter,Elliott,P,9,2009/07/29
747,Ben,Harold,B,11,2007/03/08
748,Susan,England,S,39,1979/05/10
749,Freddie,Durham,F,17,2001/08/23
750,Ben,"Van Zyl",B,39,1979/10/28
751,Peter,Gallegos,P,23,1995/05/11
752,Maria,"Van Zyl",M,26,1992/04/09
753,Susan,Fuller,S,29,1989/05/15
754,"Pieter Andre",Duran,PA,8,2010/07/02
755,Santie,Dyer,S,29,1989/07/02
756,"Garret Pieter",Gallagher,GP,4,2014/07/04
757,Shai,Gaines,S,28,1990/03/25
758,Maria,Galloway,M,41,1977/04/16
759,Riaan,Emerson,R,6,2012/07/25
760,Susan,"Van Zyl",S,10,2008/09/06
761,jaco,Edwards,j,15,2003/06/15
762,Freddie,Gamble,F,39,1979/04/24
763,Shae,Fuentes,S,2,2016/12/06
764,Ben,Galloway,B,36,1982/08/18
765,Peter,Fuentes,P,45,1973/01/17
766,Riaan,Edwards,R,48,1970/01/02
767,Aron-James,Fuller,A,9,2009/07/28
768,Shae,Galloway,S,7,2011/12/26
769,"Garret Pieter",Ellis,GP,42,1976/01/14
770,Shahmir,Durham,S,30,1988/03/23
771,Maria,Elliott,M,18,2000/05/08
772,Riaan,Durham,R,2,2016/02/04
773,Miena,Ellison,M,5,2013/09/29
774,Jan,Gallegos,J,48,1970/12/20
775,Aaron,England,A,47,1971/09/19
776,Shae,Emerson,S,41,1977/08/14
777,Jan,Fulton,J,21,1997/05/06
778,Aron-James,Elliott,A,36,1982/08/24
779,Santie,Duran,S,7,2011/09/21
780,Freddie,Durham,F,8,2010/09/05
781,Peter,Dyer,P,29,1989/02/14
782,Freddie,Gaines,F,35,1983/01/19
783,"Garret Pieter",Eaton,GP,8,2010/12/18
784,Santie,Ellis,S,29,1989/06/30
785,Shae,England,S,44,1974/08/13
786,Jan,Fuller,J,11,2007/10/05
787,Frik,Eaton,F,6,2012/01/22
788,"Garret Pieter",England,GP,9,2009/04/21
789,Freddie,Gallagher,F,21,1997/05/30
790,Freddie,Duran,F,18,2000/02/04
791,Jan,Fuller,J,17,2001/04/01
792,Maria,Gamble,M,12,2006/04/27
793,"Pieter Andre",Fuentes,PA,45,1973/06/14
794,Shae,Fuller,S,14,2004/11/10
795,Freddie,Harold,F,28,1990/10/16
796,Santie,Ellison,S,26,1992/07/10
797,"Pieter Andre",Gallegos,PA,17,2001/04/28
798,Frik,Edwards,F,36,1982/03/12
799,Jan,Gamble,J,29,1989/06/17
800,Frik,Fuller,F,34,1984/02/28
801,Miena,Edwards,M,9,2009/06/22
802,"Pieter Andre",Gamble,PA,23,1995/03/07
803,Shai,Duran,S,41,1977/11/04
804,Shae,England,S,33,1985/12/17
805,jaco,Duran,j,8,2010/10/27
806,Shahmir,Fuentes,S,21,1997/09/19
807,"Pieter Andre",Fuller,PA,29,1989/07/08
808,Ben,Fuentes,B,2,2016/08/24
809,Shadow,Gallegos,S,0,2018/01/11
810,Shadow,Gallagher,S,3,2015/07/26
811,Santie,Galloway,S,9,2009/04/01
812,"Garret Pieter",Harold,GP,41,1977/09/08
813,Santie,Fuentes,S,35,1983/03/11
814,Frik,England,F,41,1977/09/08
815,Ben,Gamble,B,42,1976/08/13
816,Riaan,Galloway,R,14,2004/06/28
817,Jan,Fuentes,J,37,1981/07/23
818,Shae,Ellis,S,7,2011/08/02
819,Maria,Gallegos,M,3,2015/09/01
820,"Pieter Andre",Gamble,PA,23,1995/06/05
821,Shadow,Edwards,S,29,1989/04/30
822,Jan,Emerson,J,19,1999/02/16
823,Shadow,Ellis,S,8,2010/10/06
824,jaco,Fuentes,j,9,2009/09/04
825,Shahmir,Gaines,S,1,2017/02/23
826,Riaan,Galloway,R,1,2017/04/05
827,Ben,Gamble,B,45,1973/11/04
828,Peter,Duran,P,15,2003/05/19
829,Aron-James,Duran,A,36,1982/11/08
830,Jan,Eaton,J,29,1989/09/20
831,Miena,Fuller,M,9,2009/11/03
832,Miena,Dyer,M,33,1985/09/22
833,Aron-James,Duran,A,8,2010/01/04
834,Miena,Gallagher,M,21,1997/02/04
835,"Pieter Andre",Gallegos,PA,32,1986/03/07
836,Shane,Harold,S,9,2009/08/27
837,Peter,"Van Zyl",P,13,2005/08/10
838,Shai,Duran,S,32,1986/12/23
839,jaco,"Van Zyl",j,23,1995/11/13
840,Freddie,Ellis,F,34,1984/08/26
841,Aron-James,Galloway,A,0,2018/10/08
842,Shane,Gamble,S,6,2012/06/28
843,Aron-James,Eaton,A,23,1995/03/07
844,Susan,Durham,S,12,2006/05/24
845,Aron-James,Durham,A,8,2010/05/24
846,Shadow,Galloway,S,47,1971/01/27
847,"Pieter Andre",Ellison,PA,11,2007/01/17
848,jaco,Ellis,j,42,1976/05/20
849,Aaron,Gallagher,A,2,2016/07/29
850,Peter,England,P,19,1999/02/06
851,Shane,Durham,S,10,2008/05/28
852,Shadow,Dyer,S,13,2005/12/22
853,Aaron,Duran,A,47,1971/09/07
854,Riaan,Emerson,R,11,2007/09/10
855,Shai,Emerson,S,37,1981/04/18
856,Peter,Fuller,P,11,2007/02/12
857,Frik,Emerson,F,44,1974/05/24
858,Miena,Galloway,M,28,1990/08/26
859,Santie,Gallegos,S,48,1970/12/16
860,Ben,Gamble,B,8,2010/12/28
861,Peter,England,P,38,1980/06/23
862,"Pieter Andre",England,PA,32,1986/08/07
863,Peter,Ellison,P,15,2003/12/30
864,Miena,Ellis,M,26,1992/05/03
865,Freddie,Fuentes,F,5,2013/06/22
866,Jan,Gallegos,J,13,2005/07/01
867,Frik,Gallegos,F,47,1971/09/30
868,Shadow,"Van Zyl",S,17,2001/07/15
869,Riaan,Eaton,R,1,2017/09/24
870,Shadow,England,S,6,2012/10/27
871,jaco,Emerson,j,39,1979/03/10
872,Riaan,Edwards,R,1,2017/04/08
873,Aron-James,Duran,A,28,1990/07/12
874,Shane,Gallagher,S,4,2014/09/29
875,Shadow,Gallagher,S,26,1992/03/04
876,Santie,"Van Zyl",S,42,1976/07/04
877,Shahmir,Fulton,S,26,1992/05/10
878,Shadow,Gallagher,S,7,2011/11/25
879,Aron-James,England,A,5,2013/07/24
880,Shadow,Emerson,S,28,1990/05/03
881,Freddie,Gamble,F,31,1987/09/11
882,Freddie,Ellison,F,48,1970/04/11
883,Jan,Emerson,J,28,1990/01/17
884,Santie,"Van Zyl",S,36,1982/06/15
885,Santie,Ellis,S,25,1993/01/19
886,Frik,Ellis,F,5,2013/03/13
887,Maria,Fulton,M,16,2002/02/21
888,Ben,Gallegos,B,26,1992/09/23
889,Frik,Elliott,F,13,2005/10/04
890,Aron-James,Gaines,A,9,2009/10/05
891,Maria,England,M,2,2016/12/24
892,Shai,Ellison,S,45,1973/07/10
893,jaco,Elliott,j,5,2013/06/25
894,Aaron,Fuller,A,40,1978/04/14
895,Freddie,Ellis,F,1,2017/11/21
896,Peter,Fulton,P,16,2002/06/12
897,Susan,Dyer,S,19,1999/09/01
898,Shahmir,Elliott,S,2,2016/09/07
899,Shai,Gamble,S,40,1978/11/16
900,Susan,Gaines,S,23,1995/09/22
901,"Garret Pieter",Ellison,GP,2,2016/10/19
902,Shae,Elliott,S,36,1982/09/12
903,"Garret Pieter",Harold,GP,42,1976/07/10
904,Shae,Edwards,S,25,1993/07/01
905,Ben,Durham,B,17,2001/08/29
906,Shane,"Van Zyl",S,12,2006/08/15
907,Ben,Gallegos,B,10,2008/01/19
908,Freddie,Gamble,F,38,1980/07/10
909,Shadow,Ellis,S,8,2010/03/26
910,Shane,Gallagher,S,31,1987/10/27
911,Shadow,Ellis,S,45,1973/08/20
912,Freddie,"Van Zyl",F,36,1982/02/18
913,Santie,Eaton,S,19,1999/03/10
914,Aron-James,Emerson,A,31,1987/03/01
915,Peter,Edwards,P,42,1976/07/24
916,Aaron,Durham,A,15,2003/06/21
917,Shai,Gallegos,S,20,1998/10/18
918,Miena,Edwards,M,15,2003/08/11
919,Shahmir,Fuller,S,17,2001/06/23
920,Frik,Harold,F,42,1976/07/05
921,Maria,Ellison,M,35,1983/04/04
922,Aaron,Galloway,A,47,1971/01/23
923,Susan,"Van Zyl",S,35,1983/10/16
924,Riaan,"Van Zyl",R,26,1992/01/19
925,Aron-James,Ellis,A,13,2005/11/16
926,Shahmir,Fuentes,S,28,1990/07/04
927,Shai,Ellis,S,23,1995/02/05
928,Miena,Gaines,M,16,2002/06/25
929,"Garret Pieter",Fulton,GP,28,1990/11/03
930,"Pieter Andre",Fuentes,PA,48,1970/04/19
931,Maria,Elliott,M,14,2004/12/27
932,Shae,Edwards,S,4,2014/06/30
933,Frik,Ellis,F,13,2005/06/30
934,"Garret Pieter",Fuller,GP,13,2005/05/28
935,Riaan,Edwards,R,9,2009/10/18
936,jaco,Fuller,j,46,1972/12/22
937,Maria,Fuller,M,48,1970/08/11
938,Jan,Edwards,J,40,1978/08/06
939,Miena,Fulton,M,9,2009/07/08
940,Freddie,Harold,F,11,2007/07/18
941,Shae,Ellis,S,41,1977/04/29
942,Riaan,Fuentes,R,25,1993/11/20
943,Susan,Ellison,S,44,1974/07/03
944,Shai,Gamble,S,25,1993/02/15
945,Peter,Duran,P,28,1990/12/29
946,Santie,Ellis,S,10,2008/03/30
947,Aaron,Duran,A,46,1972/01/16
948,Ben,Fulton,B,11,2007/01/29
949,Miena,Elliott,M,18,2000/11/08
950,jaco,England,j,44,1974/12/12
951,Ben,Ellison,B,15,2003/10/07
952,Aaron,"Van Zyl",A,10,2008/04/28
953,Shane,Emerson,S,44,1974/01/20
954,Miena,Gallegos,M,25,1993/01/03
955,Shai,Gallagher,S,45,1973/06/01
956,jaco,Fulton,j,20,1998/04/05
957,Shahmir,Durham,S,14,2004/01/15
958,Freddie,Elliott,F,27,1991/09/04
959,Aron-James,Gaines,A,30,1988/02/19
960,Ben,Edwards,B,1,2017/08/21
961,Frik,Galloway,F,36,1982/04/18
962,jaco,Elliott,j,46,1972/06/26
963,Riaan,Edwards,R,24,1994/09/19
964,Miena,Emerson,M,13,2005/11/30
965,Shahmir,Elliott,S,16,2002/08/14
966,Susan,Edwards,S,34,1984/06/07
967,Shadow,Ellis,S,30,1988/06/07
968,"Garret Pieter",Gallagher,GP,45,1973/10/24
969,Shai,Fulton,S,43,1975/05/11
970,"Garret Pieter",Elliott,GP,17,2001/02/17
971,Shai,"Van Zyl",S,32,1986/08/21
972,Santie,Emerson,S,26,1992/06/26
973,jaco,Galloway,j,26,1992/09/10
974,"Pieter Andre",Duran,PA,32,1986/08/10
975,Shane,Ellis,S,6,2012/12/22
976,Aaron,Emerson,A,3,2015/07/18
977,Santie,Durham,S,4,2014/07/10
978,Riaan,Harold,R,5,2013/02/03
979,Shadow,Durham,S,47,1971/05/18
980,Ben,Emerson,B,23,1995/11/15
981,Susan,England,S,14,2004/09/19
982,Santie,Ellison,S,14,2004/10/25
983,"Garret Pieter",Gallegos,GP,6,2012/09/25
984,Miena,Elliott,M,19,1999/01/18
985,"Pieter Andre",Durham,PA,10,2008/12/08
986,Shae,Edwards,S,5,2013/01/12
987,Frik,Fuller,F,38,1980/05/01
988,Shahmir,England,S,47,1971/04/10
989,Maria,Galloway,M,46,1972/02/19
990,jaco,Emerson,j,31,1987/04/04
991,Shai,Emerson,S,7,2011/09/19
992,Shai,Eaton,S,20,1998/09/02
993,Ben,Gaines,B,34,1984/12/20
994,Miena,Ellis,M,33,1985/08/03
995,jaco,Duran,j,48,1970/10/09
996,Shai,Elliott,S,13,2005/09/12
997,Santie,Duran,S,43,1975/12/13
998,Shahmir,Fuller,S,27,1991/07/13
999,Santie,Gaines,S,37,1981/05/22
1000,"Garret Pieter",Harold,GP,13,2005/12/14
1001,Santie,Emerson,S,36,1982/03/17
1002,Shadow,Durham,S,11,2007/09/14
1003,Riaan,Durham,R,42,1976/03/14
1004,Susan,Dyer,S,35,1983/11/04
1005,Frik,Emerson,F,12,2006/08/28
1006,"Pieter Andre",Fuentes,PA,32,1986/04/21
1007,"Pieter Andre",Duran,PA,1,2017/10/14
1008,"Pieter Andre",Eaton,PA,18,2000/12/26
1009,"Pieter Andre",Emerson,PA,27,1991/05/28
1010,Shane,Galloway,S,27,1991/10/13
1011,Shahmir,Galloway,S,34,1984/10/25
1012,"Pieter Andre",Fuentes,PA,42,1976/04/21
1013,Peter,Fuller,P,14,2004/12/26
1014,Shahmir,Ellison,S,16,2002/11/14
1015,jaco,Fuller,j,21,1997/09/06
1016,Susan,Emerson,S,36,1982/02/02
1017,Ben,Ellison,B,7,2011/03/14
1018,Santie,Emerson,S,25,1993/11/07
1019,Riaan,Emerson,R,35,1983/08/11
1020,Susan,Gallegos,S,21,1997/12/10
1021,Susan,Ellis,S,16,2002/06/01
1022,Santie,Duran,S,13,2005/06/27
1023,Shahmir,Elliott,S,37,1981/04/16
1024,Ben,Durham,B,18,2000/06/30
1025,Susan,Duran,S,45,1973/08/13
1026,Shai,Ellison,S,0,2018/11/24
1027,Jan,Duran,J,41,1977/12/21
1028,Riaan,Ellis,R,26,1992/11/27
1029,"Garret Pieter",Gamble,GP,31,1987/01/07
1030,Riaan,Galloway,R,45,1973/11/29
1031,Freddie,Gallagher,F,38,1980/08/20
1032,Shane,Fuller,S,32,1986/09/22
1033,Shadow,England,S,16,2002/12/13
1034,Maria,Gallegos,M,24,1994/07/14
1035,Aron-James,Edwards,A,9,2009/10/28
1036,Frik,"Van Zyl",F,13,2005/04/04
1037,Peter,Harold,P,19,1999/12/22
1038,Freddie,Edwards,F,42,1976/12/03
1039,Aaron,Eaton,A,9,2009/05/14
1040,Maria,Fuentes,M,3,2015/09/15
1041,Jan,Duran,J,33,1985/08/30
1042,Peter,"Van Zyl",P,23,1995/07/09
1043,Riaan,Duran,R,23,1995/08/06
1044,Shadow,Gaines,S,0,2018/09/20
1045,Shadow,Ellis,S,18,2000/03/28
1046,Jan,Gamble,J,36,1982/07/05
1047,Shane,Fulton,S,45,1973/12/10
1048,Maria,"Van Zyl",M,1,2017/01/27
1049,Aron-James,Elliott,A,35,1983/04/27
1050,Aaron,Dyer,A,12,2006/11/23
1051,Shahmir,Eaton,S,31,1987/03/05
1052,Aaron,Galloway,A,48,1970/05/15
1053,Frik,Dyer,F,27,1991/04/04
1054,Riaan,Gamble,R,5,2013/03/30
1055,Frik,Elliott,F,8,2010/06/04
1056,Shadow,Fuller,S,4,2014/01/24
1057,"Pieter Andre","Van Zyl",PA,28,1990/11/22
1058,Shae,England,S,29,1989/02/11
1059,Shae,Galloway,S,29,1989/07/12
1060,Riaan,"Van Zyl",R,7,2011/03/02
1061,Susan,Fulton,S,18,2000/01/05
1062,"Pieter Andre",Eaton,PA,15,2003/08/08
1063,Aron-James,Ellis,A,9,2009/11/14
1064,Susan,Gallegos,S,40,1978/05/08
1065,Miena,Ellis,M,11,2007/10/24
1066,Santie,Ellis,S,14,2004/03/23
1067,Shae,Duran,S,28,1990/04/07
1068,Riaan,Galloway,R,45,1973/01/29
1069,Shahmir,Eaton,S,31,1987/03/09
1070,Peter,Harold,P,22,1996/01/02
1071,Shahmir,Ellis,S,41,1977/03/26
1072,Peter,Galloway,P,5,2013/08/03
1073,"Pieter Andre",Edwards,PA,29,1989/02/08
1074,Santie,Emerson,S,25,1993/11/19
1075,Riaan,Ellis,R,31,1987/12/11
1076,Shahmir,Gallagher,S,48,1970/07/24
1077,Riaan,Gamble,R,17,2001/08/26
1078,Shahmir,Eaton,S,20,1998/12/29
1079,Aaron,Gamble,A,21,1997/07/30
1080,Santie,Harold,S,11,2007/11/28
1081,Shai,Durham,S,29,1989/08/30
1082,Aron-James,Ellison,A,20,1998/06/06
1083,Freddie,Gallegos,F,48,1970/07/24
1084,Peter,Harold,P,32,1986/05/28
1085,Shae,Fuentes,S,18,2000/10/12
1086,Susan,Gamble,S,5,2013/03/22
1087,Ben,Galloway,B,11,2007/04/28
1088,Freddie,Harold,F,39,1979/10/02
1089,Shai,Harold,S,18,2000/05/20
1090,Frik,Ellis,F,29,1989/11/10
1091,Frik,Durham,F,23,1995/12/16
1092,Freddie,Durham,F,14,2004/07/16
1093,Shane,Gaines,S,44,1974/12/21
1094,Freddie,Ellis,F,44,1974/02/23
1095,Aaron,Fuentes,A,45,1973/12/10
1096,Shae,Duran,S,23,1995/01/30
1097,Shae,Gallagher,S,47,1971/02/12
1098,Peter,Edwards,P,29,1989/04/02
1099,Jan,Gallegos,J,43,1975/06/08
1100,Shadow,Duran,S,20,1998/12/09
1101,Shae,Harold,S,30,1988/06/23
1102,Shane,Harold,S,40,1978/05/08
1103,jaco,Gallegos,j,9,2009/08/13
1104,Susan,England,S,18,2000/08/10
1105,Susan,Gamble,S,11,2007/07/09
1106,"Pieter Andre",Emerson,PA,16,2002/01/01
1107,Peter,Durham,P,16,2002/01/27
1108,Santie,Gamble,S,32,1986/11/04
1109,Jan,Fuller,J,32,1986/06/06
1110,Shane,Ellis,S,2,2016/07/04
1111,Shahmir,Duran,S,27,1991/03/08
1112,Shai,Ellison,S,44,1974/09/05
1113,Frik,Galloway,F,32,1986/01/20
1114,Jan,Dyer,J,30,1988/08/15
1115,Aron-James,Fuentes,A,25,1993/03/21
1116,Peter,Fulton,P,42,1976/11/08
1117,Shane,Dyer,S,5,2013/09/30
1118,Frik,Gamble,F,4,2014/04/15
1119,jaco,Eaton,j,9,2009/05/13
1120,Aron-James,Galloway,A,38,1980/10/29
1121,Frik,Fuentes,F,0,2018/02/02
1122,Riaan,Gaines,R,39,1979/05/07
1123,Shai,Fulton,S,27,1991/09/02
1124,Maria,Fuller,M,37,1981/11/06
1125,Ben,Ellis,B,10,2008/02/27
1126,Peter,Gallagher,P,14,2004/10/06
1127,Shai,Duran,S,32,1986/08/30
1128,Shahmir,Gallagher,S,10,2008/01/02
1129,Ben,Emerson,B,22,1996/06/24
1130,Freddie,Dyer,F,6,2012/02/29
1131,Frik,Edwards,F,0,2018/08/17
1132,Shai,Durham,S,30,1988/11/09
1133,Jan,Dyer,J,41,1977/05/12
1134,Ben,Emerson,B,36,1982/04/06
1135,jaco,Gaines,j,2,2016/09/05
1136,Freddie,Duran,F,8,2010/09/27
1137,Shae,Dyer,S,18,2000/03/05
1138,Susan,Gallagher,S,2,2016/08/07
1139,Maria,England,M,37,1981/07/16
1140,Shadow,Gaines,S,33,1985/02/27
1141,Shane,Harold,S,36,1982/05/05
1142,Shahmir,"Van Zyl",S,17,2001/10/12
1143,Shai,Harold,S,12,2006/01/13
1144,Peter,Emerson,P,5,2013/07/28
1145,Susan,Fulton,S,44,1974/02/20
1146,Santie,Duran,S,14,2004/08/03
1147,Shahmir,Edwards,S,46,1972/05/08
1148,Frik,"Van Zyl",F,9,2009/03/23
1149,"Pieter Andre",Duran,PA,1,2017/07/14
1150,Miena,Fulton,M,3,2015/08/06
1151,Riaan,Fuentes,R,33,1985/02/09
1152,"Garret Pieter",Gallegos,GP,7,2011/10/29
1153,Shahmir,Fulton,S,10,2008/10/28
1154,Aron-James,Edwards,A,8,2010/04/09
1155,Shae,Gaines,S,40,1978/11/19
1156,jaco,"Van Zyl",j,29,1989/01/13
1157,Shae,Fuentes,S,7,2011/10/11
1158,Shai,Gamble,S,12,2006/09/02
1159,"Pieter Andre",Ellison,PA,0,2018/04/05
1160,Maria,"Van Zyl",M,11,2007/02/14
1161,"Garret Pieter",Fuller,GP,30,1988/02/14
1162,Shai,Gamble,S,48,1970/01/20
1163,Susan,England,S,7,2011/01/26
1164,Shae,Harold,S,46,1972/12/17
1165,Frik,Dyer,F,16,2002/05/05
1166,"Pieter Andre",Dyer,PA,22,1996/11/03
1167,jaco,Gaines,j,48,1970/11/09
1168,Santie,"Van Zyl",S,29,1989/01/30
1169,Freddie,Galloway,F,37,1981/07/16
1170,"Pieter Andre",Gamble,PA,4,2014/08/12
1171,Shae,Harold,S,7,2011/03/08
1172,Aaron,Gallegos,A,19,1999/05/28
1173,Riaan,Gallegos,R,5,2013/01/06
1174,Aaron,Edwards,A,28,1990/11/06
1175,Shai,Durham,S,32,1986/07/05
1176,Susan,Fuller,S,6,2012/07/27
1177,Shane,Eaton,S,39,1979/12/30
1178,Shae,Edwards,S,12,2006/08/11
1179,Aaron,Fuller,A,41,1977/07/04
1180,"Garret Pieter","Van Zyl",GP,7,2011/08/06
1181,Shae,Fuentes,S,14,2004/12/15
1182,Frik,Fulton,F,27,1991/06/01
1183,Susan,Edwards,S,3,2015/07/22
1184,Jan,Ellis,J,17,2001/05/18
1185,Freddie,"Van Zyl",F,11,2007/04/27
1186,Freddie,Gallagher,F,22,1996/08/20
1187,Miena,Ellis,M,48,1970/11/27
1188,Aron-James,Emerson,A,15,2003/09/25
1189,Ben,"Van Zyl",B,7,2011/07/13
1190,Jan,Dyer,J,27,1991/11/08
1191,"Garret Pieter",Elliott,GP,9,2009/08/27
1192,"Garret Pieter",Emerson,GP,4,2014/08/27
1193,Freddie,Ellis,F,31,1987/04/29
1194,Frik,Gaines,F,0,2018/06/12
1195,Ben,Gallegos,B,4,2014/05/08
1196,Susan,Eaton,S,4,2014/10/12
1197,Shae,Duran,S,35,1983/10/26
1198,Jan,Duran,J,11,2007/06/25
1199,Peter,Ellis,P,6,2012/09/06
1200,Miena,Fuller,M,6,2012/01/06
1201,Shahmir,Gallagher,S,48,1970/03/29
1202,Riaan,Dyer,R,11,2007/04/12
